mode;libelle;definition;Position;Classe;Etendue;ValeurInt;Terrain;Couleur
0;0 %;Aucun arbre portant au moins une boule de gui;1;1;1;;;
1;moins de 10 %;Moins de 10 % (exclu) d'arbres portant au moins une boule de gui;2;2;1;;;
2;entre 10 et 20 %;Entre 10 % (inclus) et 20 % (exclu) d'arbres portant au moins une boule de gui;3;3;1;;;
3;entre 20 et 30 %;Entre 20 % (inclus) et 30 % (exclu) d'arbres portant au moins une boule de gui;4;4;1;;;
4;entre 30 et 40 %;Entre 30 % (inclus) et 40 % (exclu) d'arbres portant au moins une boule de gui;5;5;1;;;
5;entre 40 et 50 %;Entre 40 % (inclus) et 50 % (exclu) d'arbres portant au moins une boule de gui;6;6;1;;;
6;entre 50 et 60 %;Entre 50 % (inclus) et 60 % (exclu) d'arbres portant au moins une boule de gui;7;7;1;;;
7;entre 60 et 70 %;Entre 60 % (inclus) et 70 % (exclu) d'arbres portant au moins une boule de gui;8;8;1;;;
8;entre 70 et 80 %;Entre 70 % (inclus) et 80 % (exclu) d'arbres portant au moins une boule de gui;9;9;1;;;
9;entre 80 et 90 %;Entre 80 % (inclus) et 90 % (exclu) d'arbres portant au moins une boule de gui;10;10;1;;;
10;entre 90 et 99 %;Entre 90 % (inclus) et 100 % (exclu) d'arbres portant au moins une boule de gui;11;11;1;;;
11;100 %;Tous les arbres portent au moins une boule de gui;12;12;1;;;
X;Non calculable;Non calculable;13;13;1;;;
